Jour;Moment;Type;Séance;Détails;Durée;Intensité_cible;Récup;Lieu
Lundi;04:00;Course;EF + 3×500 m Z2;"Footing 5’, gammes (50 m), 3×500 m Z2 r=2’30, retour au calme";35–45 min;Z2;"2’30 sur 500, souple";Extérieur
Lundi;Après réveil;Musculation;Haut du corps (salle);"Tirage vertical, rowing, 2 exos pectoraux, épaules, triceps; 3–4×6–12";60–75 min;Z2–Z3;"60–120 s";Salle
Mardi;Matin;Calisthénie;Circuit sans jambes;"Relevés jambes //, tractions aust. pronation, heel touch, pike PU, tractions négatives, pompes expl., dips banc, crunch obliques (x3 tours)";45–60 min;Z2–Z3;"30–90 s";Parc/Street
Mardi;Soir;Course;Gammes techniques;"Footing 5’, montées de genoux, talons-fesses, skipping, pas chassés, foulées bondissantes (3–5 reps chacune), retour au calme";25–35 min;Z2–Z3;"~1’ entre séries";Extérieur
Mercredi;Matin;Calisthénie;Circuit force (variante);"Relevés jambes //, tractions aust. supination, suspension 20s (activation épaules), HSPU assisté, pompes Archer, dips //, relevés jambes planche, crunch + heel touch (x3 tours)";45–60 min;Z3;"45–120 s";Parc/Street
Mercredi;Soir;Course;Pyramide Z4;"100/200/300/400/500 puis 400/300/200/100 (r=1’/2’/3’/4’/5’ puis 4’/3’/2’/1’), EF retour (~7,5 km)";60–70 min;Pics Z4;"Récups indiquées";Extérieur
Jeudi;Matin;Calisthénie + Jambes;Full body (ordre validé);"Jump squats → Relevés jambes // → Tractions aust. → Heel touch → Pont fessier → Pike PU → Mollets → Tractions négatives → Crunch oblique → Fentes lentes (3s) → Pompes expl. → Dips banc → Box pistol négatif (x3)";50–65 min;Z2–Z3;"45–90 s";Parc/Street
Jeudi;Après-midi;Option;Vélo Z2 (décrassage);"Si frais: 45–60’ roulage souple cadence >85";45–60 min;Z2;—;Extérieur
Vendredi;—;Récup;Repos actif;"Mobilité globale, respiration, marche 20–30’";20–30 min;Z1;—;Libre
Samedi;Matin;Récup;Sommeil post-nuit;"+ 10’ mobilité douce si OK";—;Z1;—;Maison
Dimanche;04:00;Marche rapide;Retour de nuit;"~5 km à 52–55’, allure vive sans essoufflement";50–55 min;Z2 bas;—;Extérieur
